,Obj_ID,IAU_name,Internal_names,Obj_RA,Obj_DEC,Obj_Type,Redshift,Spec_ID,Obs_date,JD,Phase_(days),From,Telescope,Instrument,Observers,Reducers,Source_group,Public,Associated_groups,End_prop_period,Ascii_file,Fits_file,Spec_type,Spec_quality,Extinction_Corrected,WL_Medium,WL_Units,Flux_Unit_Coefficient,Spec_units,Flux_Calibrated_By,Exp_time,Aperture_(slit),HA,Airmass,Dichroic,Grism,Grating,Blaze,Lambda_min,Lambda_max,Del_Lambda,Contrib,Publish,Remarks,Created_by,Creation_date
9807,20730,2022fnl,ZTF22aadesjc  ATLAS22keu,233.427042,43.745906,--,,66195,2022-05-12 01:20:32.00,2459711.5559259,--,--,NOT,ALFOSC,T. T. Hansen  A. Gkini  H. Westman  J. Patel  H. Pless  B. Björgvinsson  L. Pless (Stockholm University)  S. Joshi (KTH),J. Sollerman  S. Schulze (Stockholm University),TNS,Y,TNS,--,SN2022fnl_2022-05-12_01-20-32_NOT_ALFOSC_TNS_0.txt,--,Object,--,--,Air,Angstrom,1,erg cm(-2) sec(-1) Ang(-1),--,5400,--,--,--,--,--,--,--,3850.1078160143,9714.2372036423,3.6243074089172,--,--,[TNS source group:  2 - iPTF ],TNS_Bot1,2022-05-12 20:05:08
9806,20730,2022fnl,ZTF22aadesjc  ATLAS22keu,233.427042,43.745906,--,,66194,2022-05-12 01:20:32.00,2459711.5559259,--,--,NOT,ALFOSC,Jesper Sollerman,Steve Schulze,TNS,Y,TNS,--,SN2022fnl_2022-05-12_01-20-32_NOT_ALFOSC_TNS.ascii,--,Object,--,--,Air,Angstrom,1,erg cm(-2) sec(-1) Ang(-1),--,5400,--,--,--,--,--,--,--,3850.1078160143,9714.2372036423,3.6243074089172,--,--,[TNS source group:  48 - ZTF ],TNS_Bot1,2022-05-12 20:05:08
10837,21343,2022qmx,ZTF22aaylnhq  PS22hgj,263.934667,4.832472,--,,67202,2022-08-24 03:36:20.00,2459815.6502315,--,--,P60,SEDM,SEDmRobot,--,TNS,Y,TNS,--,SN2022qmx_2022-08-24_03-36-20_P60_SEDM_TNS.ascii,--,Object,--,--,Air,Angstrom,1,erg cm(-2) sec(-1) Ang(-1),--,2750.0,--,--,--,--,--,--,--,3776.7,9223.3,25.451401869159,--,--,[TNS source group:  48 - ZTF ],TNS_Bot1,2022-08-24 23:05:05
10836,21343,2022qmx,ZTF22aaylnhq  PS22hgj,263.934667,4.832472,--,,67204,2022-08-21 00:00:00.00,2459812.5,--,--,P60,SEDM,SEDM Robot,--,TNS,Y,TNS,--,SN2022qmx_2022-08-21_00-00-00_P60_SEDM_TNS.txt,--,Object,--,--,Air,Angstrom,1,erg cm(-2) sec(-1) Ang(-1),--,--,--,--,--,--,--,--,--,3776.7,9223.3,25.451401869159,--,--,[TNS source group:  48 - ZTF ],TNS_Bot1,2022-08-25 10:05:06
1760,23514,2023mhs,ZTF23aaqdjhi  ATLAS23njv,205.815333,19.25025,--,,77828,2023-07-22 08:30:02.00,2460147.8541898,--,--,FTS,FLOYDS-S,Las Cumbres Observatory,Megan Newsome,TNS,Y,TNS,--,AT2023mhs_2023-07-22_08-30-02_FTS_FLOYDS-S_TNS.ascii,--,Object,--,--,Air,Angstrom,1,erg cm(-2) sec(-1) Ang(-1),--,3600,--,--,--,--,--,--,--,3498.9536132813,10000.274236202,2.2859777155137,--,--,[TNS source group:  38 - Global SN Project ],TNS_Bot1,2023-07-24 05:05:06
1759,23514,2023mhs,ZTF23aaqdjhi  ATLAS23njv,205.815333,19.25025,--,,77812,2023-07-18 05:51:55.00,2460143.7443866,--,--,Keck1,LRIS,Yuhan Yao  Yu-Jing Qin,Yuhan Yao,TNS,Y,TNS,--,SN2023mhs_2023-07-18_05-51-55_Keck1_LRIS_TNS.ascii,--,Object,--,--,Air,Angstrom,1,erg cm(-2) sec(-1) Ang(-1),--,300,--,--,--,--,--,--,--,3082.0234,10271.305,1.4118777690495,--,--,[TNS source group:  48 - ZTF ],TNS_Bot1,2023-07-21 18:05:11
1709,23709,2023mtp,ATLAS23qbj  ZTF23aalftvv,258.535583,81.074833,--,,78081,2023-08-17 23:25:07.00,2460174.4757755,--,--,INT-2.5m,IDS,D. O&amp;#039;Neill  B. Warwick  B. Godson,--,TNS,Y,TNS,--,AT2023mtp_2023-08-17_23-25-07_INT-2.5m_IDS_TNS.txt,--,Object,--,--,Air,Angstrom,1,erg cm(-2) sec(-1) Ang(-1),--,--,--,--,--,--,--,--,--,3902.6780701102,8369.6094235409,4.0981021591107,--,--,[TNS source group:  59 - GOTO ],TNS_Bot1,2023-08-18 13:05:07
1711,23709,2023mtp,ATLAS23qbj  ZTF23aalftvv,258.535583,81.074833,--,,78545,2023-09-01 00:00:00.00,2460188.5,--,--,CMO-2.5m,TDS,A. Dodin (SAI-MSU/CMO),--,TNS,Y,TNS,--,SN2023mtp_2023-09-01_00-00-00_CMO-2.5m_TDS_TNS.txt,https://www.wiserep.org/system/files/uploaded/TNS/SN2023mtp_2023-09-01_00-00-00_CMO-2.5m_TDS_TNS.fits,Object,--,--,Air,Angstrom,1,erg cm(-2) sec(-1) Ang(-1),--,--,--,--,--,--,--,--,--,3320.15,7420.36,1.0417200203252,--,--,The observations were performed with the Transient Double-beam Spectrograph mounted on the 2.5-m Telescope of the Caucasus Mountain Observatory (CMO).  [TNS source group:  103 - Fink ],TNS_Bot1,2023-10-05 15:05:07
1710,23709,2023mtp,ATLAS23qbj  ZTF23aalftvv,258.535583,81.074833,--,,78186,2023-08-24 06:53:21.00,2460180.7870486,--,--,FTN,FLOYDS-N,LCO,Joseph Farah,TNS,Y,TNS,--,SN2023mtp_2023-08-24_06-53-21_FTN_FLOYDS-N_TNS.ascii,--,Object,--,--,Air,Angstrom,1,erg cm(-2) sec(-1) Ang(-1),--,2700,--,--,--,--,--,--,--,3500.4516601562,10000.388347387,2.2870994677097,--,--,[TNS source group:  0 - None ],TNS_Bot1,2023-09-08 18:05:06
819,23917,2023tbf,GOTO23aky,313.65475,-48.674814,--,,78329,2023-09-20 01:56:21.00,2460207.5807986,--,--,VLT-UT2,X-Shooter,A. Saccardi (GEPI/Paris Obs.)  L. Izzo (INAF/OACn &amp;amp;amp; DARK/NBI)  J. T. Palmerio (GEPI/Paris Obs. &amp;amp;amp; IAP)  D. B. Malesani (Radboud U,--,TNS,Y,TNS,--,AT2023tbf_2023-09-20_01-56-21_VLT-UT2_X-Shooter_TNS.dat,--,Object,--,--,Air,Angstrom,1,erg cm(-2) sec(-1) Ang(-1),--,--,--,--,--,--,--,--,--,2989.9069430067,5561.0341457594,0.2000254553254,--,--,1D UVB arm spectrum wavelength vacuum  See GCN Circular 34753 (https://gcn.nasa.gov/circulars/34753)   [TNS source group:  46 - STARGATE ],TNS_Bot1,2023-09-22 16:05:08
820,23917,2023tbf,GOTO23aky,313.65475,-48.674814,--,,78330,2023-09-20 01:56:21.00,2460207.5807986,--,--,VLT-UT2,X-Shooter,A. Saccardi (GEPI/Paris Obs.)  L. Izzo (INAF/OACn &amp;amp;amp; DARK/NBI)  J. T. Palmerio (GEPI/Paris Obs. &amp;amp;amp; IAP)  D. B. Malesani (Radboud U,--,TNS,Y,TNS,--,AT2023tbf_2023-09-20_01-56-21_VLT-UT2_X-Shooter_TNS_0.dat,--,Object,--,--,Air,Angstrom,1,erg cm(-2) sec(-1) Ang(-1),--,--,--,--,--,--,--,--,--,5337.7871354117,10202.225051725,0.2000344566294,--,--,1D VIS arm spectrum wavelength vacuum  See GCN Circular 34753 (https://gcn.nasa.gov/circulars/34753)   [TNS source group:  46 - STARGATE ],TNS_Bot1,2023-09-22 16:05:08
740,24065,2023ucy,ZTF23abhzxwm  ATLAS23tqo,285.424958,40.751636,--,,78856,2023-10-20 15:26:41.00,2460238.1435301,--,--,HCT-2m,HFOSC,Rishabh Singh Teja (IIA)  Yogita Patel (IIA),Rishabh Singh Teja,TNS,Y,TNS,--,SN2023ucy_2023-10-20_15-26-41_HCT-2m_HFOSC_TNS.dat,--,Object,--,--,Air,Angstrom,1,erg cm(-2) sec(-1) Ang(-1),--,1500,--,--,--,--,--,--,--,3600.0,9000.0000000001,1.2646370023419,--,--,The spectrum is dominated by the underlying HII region at the site. Apart from these lines  other broad lines from the SN are also identified  particularly Halpha  Hbeta and He I. From broad absorptions  we find the velocities of Halpha  Hbeta  and He I to be around ~ 13600 km/s  ~9100 km/s  and ~9100 km/s  respectively. The Halpha absorption is contaminated by [OI] 6300 emission from the host.  [TNS source group:  0 - None ],TNS_Bot1,2023-10-27 10:05:06
739,24065,2023ucy,ZTF23abhzxwm  ATLAS23tqo,285.424958,40.751636,--,,78825,2023-10-16 11:42:51.00,2460233.9880903,--,--,Other,Other,Kenta Taguchi  Keiichi Maeda  Eleni Koutsiona  Miho Kawabata,Kenta Taguchi,TNS,Y,TNS,--,SN2023ucy_2023-10-16_11-42-51_Other_Other_TNS.dat,https://www.wiserep.org/system/files/uploaded/TNS/SN2023ucy_2023-10-16_11-42-51_Other_Other_TNS.fits,Object,--,--,Air,Angstrom,1,erg cm(-2) sec(-1) Ang(-1),--,1200,--,--,--,--,--,--,--,4000.0,8548.0,1.9991208791209,--,--,We performed a spectroscopic follow-up observation with KOOLS-IFU mounted on the 3.8-m Seimei telescope at Okayama Observatory of Kyoto University. The spectral resolution is ~ 500  and the wavelength coverage is 4100-8500 A.  [TNS source group:  0 - None ],TNS_Bot1,2023-10-24 04:05:06
1142,24649,2023ywa,ZTF23absscow  PS23llo  ATLAS23wqs,13.681917,39.758878,--,,79894,2024-01-07 19:50:27.00,2460317.3267014,--,--,NOT,ALFOSC,Jesper Sollerman  Steve Schulze,Steve Schulze,TNS,Y,TNS,--,SN2023ywa_2024-01-07_19-50-27_NOT_ALFOSC_TNS_0.ascii,--,Object,--,--,Air,Angstrom,1,erg cm(-2) sec(-1) Ang(-1),--,1800,--,--,--,--,--,--,--,3500.6518339383,9682.1138482949,3.6254909175112,--,--,[TNS source group:  48 - ZTF ],TNS_Bot1,2024-01-09 00:05:09
1141,24649,2023ywa,ZTF23absscow  PS23llo  ATLAS23wqs,13.681917,39.758878,--,,79893,2024-01-07 19:50:27.00,2460317.3267014,--,--,NOT,ALFOSC,Steve Schulze  Jesper Sollerman,Steve Schulze,TNS,Y,TNS,--,SN2023ywa_2024-01-07_19-50-27_NOT_ALFOSC_TNS.ascii,--,Object,--,--,Air,Angstrom,1,erg cm(-2) sec(-1) Ang(-1),--,1800,--,--,--,--,--,--,--,3500.6518339383,9682.1138482949,3.6254909175112,--,--,[TNS source group:  48 - ZTF ],TNS_Bot1,2024-01-09 00:05:09
4773,10067,AT 2018dyk,ZTF18aajupnt,233.2833955,44.5356122,TDE,0.037,40194,2018-08-12 07:00:56.00,2458342.7923148,--,--,FTN,FLOYDS-N,Robotic,J. Burke,TNS,Y,TNS,--,AT2018dyk_2018-08-12_07-00-56_FTN_FLOYDS-N_TNS.ascii,https://www.wiserep.org/system/files/uploaded/TNS/AT2018dyk_2018-08-12_07-00-56_FTN_FLOYDS-N_TNS.fits,Object,--,--,Air,Angstrom,1,erg cm(-2) sec(-1) Ang(-1),--,3600.0,--,--,--,--,--,--,--,3500.0578613281,9999.6936268806,1.7411293237483,--,--,[TNS source group:  0 - ],TNS_Bot1,2018-08-15 02:05:02
4772,10067,AT 2018dyk,ZTF18aajupnt,233.2833955,44.5356122,TDE,0.037,57257,2018-08-08 08:18:46.00,2458338.8463657,--,--,Keck1,LRIS,Kishalay De  Scott Adams,Kishalay De,TNS,Y,TNS,--,AT2018dyk_2018-08-08_08-18-46_Keck1_LRIS_TNS.ascii,--,Object,--,--,Air,Angstrom,1,erg cm(-2) sec(-1) Ang(-1),--,300.01,--,--,--,--,--,--,--,3101.6704,10283.974,1.4118937684293,--,--,[TNS source group:  48 - ZTF ],TNS_Bot1,2020-06-17 21:05:05
4743,10012,AT 2018emz,ZTF18ablerlf  ATLAS18svz,302.9674375,13.873085,CV,0.0,40059,2018-08-04 05:29:32.00,2458334.7288426,--,--,ESO-NTT,EFOSC2-NTT,F. Onori  R. Stein,G. Cannizzaro,TNS,Y,TNS,--,AT2018emz_2018-08-04_05-29-32_ESO-NTT_EFOSC2-NTT_TNS.asci,https://www.wiserep.org/system/files/uploaded/TNS/AT2018emz_2018-08-04_05-29-32_ESO-NTT_EFOSC2-NTT_TNS.fits,Object,--,--,Air,Angstrom,1,erg cm(-2) sec(-1) Ang(-1),--,180.0,--,--,--,--,--,--,--,3635.04785156,9230.22745228,5.5124922174581,--,--,[TNS source group:  37 - ePESSTO ],TNS_Bot1,2018-08-04 18:05:06
4744,10012,AT 2018emz,ZTF18ablerlf  ATLAS18svz,302.9674375,13.873085,CV,0.0,40063,2018-08-04 06:27:00.00,2458334.76875,--,--,Plaskett,Plaskett,Balam,Balam,TNS,Y,TNS,--,AT2018emz_2018-08-04_06-27-00_Plaskett_Plaskett_TNS.txt,https://www.wiserep.org/system/files/uploaded/TNS/AT2018emz_2018-08-04_06-27-00_Plaskett_Plaskett_TNS.fits,Object,--,--,Air,Angstrom,1,erg cm(-2) sec(-1) Ang(-1),--,2400.0,--,--,--,--,--,--,--,3806.7133789062,6929.4702634812,3.7668961213207,--,--,[TNS source group:  9 - DAO_OTS ],TNS_Bot1,2018-08-04 20:05:02
4063,10105,AT 2018fdd,ZTF18abmeehs,306.9349734,20.1539722,--,,60419,2018-08-18 08:44:15.00,2458348.8640625,--,--,UH88,SNIFS,Tucker,--,TNS,Y,TNS,--,AT2018fdd_2018-08-18_08-44-15_UH88_SNIFS_TNS.dat,--,Object,--,--,Air,Angstrom,1,erg cm(-2) sec(-1) Ang(-1),--,1500,--,--,--,--,--,--,--,3402.76,9198.76,3.2217898832685,--,--,[TNS source group:  51 - SCAT ],TNS_Bot1,2021-02-12 01:05:08
4062,10105,AT 2018fdd,ZTF18abmeehs,306.9349734,20.1539722,--,,40205,2018-08-17 03:07:12.00,2458347.63,--,--,NOT,ALFOSC,A. Grosch  F. L. Guttesen  C. P. Knudsen  K. Loeve  and K. S. Nielsen,--,TNS,Y,TNS,--,AT2018fdd_2018-08-17_03-07-12_NOT_ALFOSC_TNS.txt,https://www.wiserep.org/system/files/uploaded/TNS/AT2018fdd_2018-08-17_03-07-12_NOT_ALFOSC_TNS.fits,Object,--,--,Air,Angstrom,1,erg cm(-2) sec(-1) Ang(-1),--,--,--,--,--,--,--,--,--,3545.057284058,9479.0969262206,3.4885594604131,--,--,[TNS source group:  0 - ],TNS_Bot1,2018-08-17 10:05:04
4058,10118,AT 2018fdx,ASASSN-18sk,349.37494,-49.80026,CV,0.0,40249,2018-08-18 08:02:25.00,2458348.8350116,--,--,ESO-NTT,EFOSC2-NTT,E. Callis  Z. Kostrzewa-Rutkowska,M. Fraser,TNS,Y,TNS,--,AT2018fdx_2018-08-18_08-02-25_ESO-NTT_EFOSC2-NTT_TNS.asci,https://www.wiserep.org/system/files/uploaded/TNS/AT2018fdx_2018-08-18_08-02-25_ESO-NTT_EFOSC2-NTT_TNS.fits,Object,--,--,Air,Angstrom,1,erg cm(-2) sec(-1) Ang(-1),--,900,--,--,--,--,--,--,--,3338.26928711,7458.14019299,4.0750454064095,--,--,[TNS source group:  37 - ePESSTO ],TNS_Bot1,2018-08-18 18:05:06
4057,10118,AT 2018fdx,ASASSN-18sk,349.37494,-49.80026,CV,0.0,40250,2018-08-18 06:37:10.00,2458348.7758102,--,--,ESO-NTT,EFOSC2-NTT,E. Callis  Z. Kostrzewa-Rutkowska,M. Fraser,TNS,Y,TNS,--,AT2018fdx_2018-08-18_06-37-10_ESO-NTT_EFOSC2-NTT_TNS.asci,https://www.wiserep.org/system/files/uploaded/TNS/AT2018fdx_2018-08-18_06-37-10_ESO-NTT_EFOSC2-NTT_TNS.fits,Object,--,--,Air,Angstrom,1,erg cm(-2) sec(-1) Ang(-1),--,260,--,--,--,--,--,--,--,3640.04785156,9235.22745228,5.5124922174581,--,--,[TNS source group:  37 - ePESSTO ],TNS_Bot1,2018-08-18 18:05:06
2875,10186,AT 2018fvs,ASASSN-18ui,260.54718,-10.17517,CV,,40408,2018-09-11 18:07:03.00,2458373.2548958,--,--,UH88,SNIFS,AVPayne  MATucker,--,TNS,Y,TNS,--,AT2018fvs_2018-09-11_18-07-03_UH88_SNIFS_TNS.dat,--,Object,--,--,Air,Angstrom,1,erg cm(-2) sec(-1) Ang(-1),--,900,--,--,--,--,--,--,--,3301.06,9701.06,5.3467000835422,--,--,Taken under partly cloudy conditions  and reduced with a summit quick reduction pipeline  care should be taken before reusing this spectrum for further analysis.   [TNS source group:  51 - SCAT ],TNS_Bot1,2018-09-12 08:05:03
2874,10186,AT 2018fvs,ASASSN-18ui,260.54718,-10.17517,CV,,40851,2018-09-08 04:19:12.00,2458369.68,--,--,P200,DBSP,Subhash Bose. Ping Chen,Subhash Bose,TNS,Y,TNS,--,AT2018fvs_2018-09-08_04-19-12_P200_DBSP_TNS.txt,https://www.wiserep.org/system/files/uploaded/TNS/AT2018fvs_2018-09-08_04-19-12_P200_DBSP_TNS.fits,Object,--,--,Air,Angstrom,1,erg cm(-2) sec(-1) Ang(-1),--,--,--,--,--,--,--,--,--,3800.3226,9499.5742,1.6149763672428,--,--,[TNS source group:  3 - ASAS-SN ],TNS_Bot1,2018-11-14 10:05:06
2836,10217,AT 2018gfx,ATLAS18vlg  ZTF18abtswjk,38.2980114,-1.3056262,AGN,0.051,40497,2018-09-18 05:00:11.00,2458379.7084606,--,--,ESO-NTT,EFOSC2-NTT,M. Gromadzki  T. Wevers,J. Lyman,TNS,Y,TNS,--,AT2018gfx_2018-09-18_05-00-11_ESO-NTT_EFOSC2-NTT_TNS.asci,https://www.wiserep.org/system/files/uploaded/TNS/AT2018gfx_2018-09-18_05-00-11_ESO-NTT_EFOSC2-NTT_TNS.fits,Object,--,--,Air,Angstrom,1,erg cm(-2) sec(-1) Ang(-1),--,1200,--,--,--,--,--,--,--,3639.3818359375,9235.0850811005,5.5130081233133,--,--,[TNS source group:  37 - ePESSTO ],TNS_Bot1,2018-09-18 20:05:07
2837,10217,AT 2018gfx,ATLAS18vlg  ZTF18abtswjk,38.2980114,-1.3056262,AGN,0.051,40641,2018-10-06 10:38:24.00,2458397.9433333,--,--,P60,SEDM,SEDmRobot,auto,TNS,Y,TNS,--,SN2018gfx_2018-10-06_10-38-24_P60_SEDM_TNS.ascii,--,Object,--,--,Air,Angstrom,1,erg cm(-2) sec(-1) Ang(-1),--,1440,--,--,--,--,--,--,--,3776.7,9223.3,25.451401869159,--,--,[TNS source group:  48 - ZTF ],TNS_Bot1,2018-10-12 10:05:04
2822,10363,AT 2018gho,Gaia18crv  ZTF18abucxcj,246.8412676,39.1092409,--,0.033,57572,2018-09-11 04:41:42.00,2458372.695625,--,--,P200,DBSP,A. Drake,A. Ho,TNS,Y,TNS,--,SN2018gho_2018-09-11_04-41-42_P200_DBSP_TNS.ascii,https://www.wiserep.org/system/files/uploaded/TNS/SN2018gho_2018-09-11_04-41-42_P200_DBSP_TNS.fits,Object,--,--,Air,Angstrom,1,erg cm(-2) sec(-1) Ang(-1),--,900,--,--,--,--,--,--,--,3400.0,10000.2,1.5246477246477,--,--,[TNS source group:  48 - ZTF ],TNS_Bot1,2020-07-24 02:05:05
2823,10363,AT 2018gho,Gaia18crv  ZTF18abucxcj,246.8412676,39.1092409,--,0.033,40833,2018-09-20 04:04:09.00,2458381.6695486,--,--,P60,SEDM,SEDmRobot,auto,TNS,Y,TNS,--,SN2018gho_2018-09-20_04-04-09_P60_SEDM_TNS.ascii,--,Object,--,--,Air,Angstrom,1,erg cm(-2) sec(-1) Ang(-1),--,1440,--,--,--,--,--,--,--,3776.7,9223.3,25.451401869159,--,--,[TNS source group:  48 - ZTF ],TNS_Bot1,2018-11-12 05:05:04
2824,10363,AT 2018gho,Gaia18crv  ZTF18abucxcj,246.8412676,39.1092409,--,0.033,40731,2018-09-21 21:23:06.00,2458383.3910417,--,--,LT,SPRAT,S. Prentice,--,TNS,Y,TNS,--,AT2018gho_2018-09-21_21-23-06_LT_SPRAT_TNS.txt,--,Object,--,--,Air,Angstrom,1,erg cm(-2) sec(-1) Ang(-1),--,800,--,--,--,--,--,--,--,3998.7358398438,8001.1892604828,4.6922079960598,--,--,Both the transient and the core of the host were in the slit  this extraction is at the position of the transient.  [TNS source group:  0 - ],TNS_Bot1,2018-10-31 23:05:02
1925,10307,AT 2018hcv,ATLAS18wbr,77.2991033333,71.3864783333,CV,,40634,2018-10-12 05:50:03.00,2458403.7430903,--,--,LT,SPRAT,S. Prentice,--,TNS,Y,TNS,--,AT2018hcv_2018-10-12_05-50-03_LT_SPRAT_TNS.txt,--,Object,--,--,Air,Angstrom,1,erg cm(-2) sec(-1) Ang(-1),--,250,--,--,--,--,--,--,--,4020.0,7994.4,9.178752886836,--,--,[TNS source group:  0 - ],TNS_Bot1,2018-10-12 08:05:02
1924,10307,AT 2018hcv,ATLAS18wbr,77.2991033333,71.3864783333,CV,,40635,2018-10-08 05:28:55.00,2458399.7284144,--,--,LT,SPRAT,S. Prentice,--,TNS,Y,TNS,--,AT2018hcv_2018-10-08_05-28-55_LT_SPRAT_TNS.txt,--,Object,--,--,Air,Angstrom,1,erg cm(-2) sec(-1) Ang(-1),--,250,--,--,--,--,--,--,--,4020.0,7994.4,9.178752886836,--,--,[TNS source group:  0 - ],TNS_Bot1,2018-10-12 08:05:02
