Ascii file,error
2018cif_2018-06-16_09-58-32_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2018aae_2018-03-06_06-58-41_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2017hol_2017-10-27_02-34-36_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2016czr_2016-07-28_08-14-58_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2016fhw_2016-09-02_08-28-08_P60_SEDM_None.ascii,Spectral unit conversion from 'Other' not implemented
2016fov_2016-09-03_05-06-03_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2017gtg_2017-09-29_04-48-58_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2016fod_2016-09-06_07-38-53_P60_SEDM_None.ascii,Spectral unit conversion from 'Other' not implemented
2018abj_2018-03-10_00-00-00_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2018cho_2018-06-13_10-08-13_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2017hie_2017-10-14_02-18-19_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
SN2018awd_2018-04-22_07-57-03_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
iPTF16euq_2016-08-19_00-00-00.000000_P60_SEDM_iPTF.ascii,Flux is not positive!
SN2016euq_2016-08-19_09-20-48_P60_SEDM_TNS.ascii,Flux is not positive!
2018cgf_2018-06-10_10-16-42_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2018ou_2018-02-05_03-24-16_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2017hrk_2017-11-01_05-39-46_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2016fln_2016-09-01_09-39-17_P60_SEDM_None.ascii,Spectral unit conversion from 'Other' not implemented
iPTF15fmk_2016-01-15_00-00-00.000000_P60_SEDM_iPTF.ascii,Flux is not positive!
2017hoo_2017-10-26_08-25-36_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2016cvm_2016-06-19_07-12-07_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
iPTF16foa_2016-09-02_00-00-00.000000_P60_SEDM_iPTF.ascii,Flux is not positive!
2016foa_2016-09-02_07-37-55_P60_SEDM_None.ascii,Spectral unit conversion from 'Other' not implemented
2017haf_2017-10-03_05-04-31_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2018auh_2018-04-14_05-15-44_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2018km_2018-01-25_04-12-09_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
iPTF16gop_2016-09-29_00-00-00.000000_P60_SEDM_iPTF.ascii,Flux is not positive!
2016gop_2016-09-29_07-06-21_P60_SEDM_None.ascii,Spectral unit conversion from 'Other' not implemented
2018apn_2018-04-02_00-00-00_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2017gzu_2017-10-04_11-25-07_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
SN1996D_2020-03-07_04-03-15_P60_SEDM_TNS.ascii,Flux is not positive!
SN1996D_2020-03-07_04-03-15_P60_SEDM_TNS_0.ascii,Flux is not positive!
2016fbl_2016-08-17_08-38-40_P60_SEDM_None.ascii,Spectral unit conversion from 'Other' not implemented
iPTF16eob_2016-08-28_00-00-00.000000_P60_SEDM_iPTF.ascii,Flux is not positive!
2016eob_2016-08-28_06-28-59_P60_SEDM_None.ascii,Spectral unit conversion from 'Other' not implemented
2016hgx_2016-10-22_10-17-18_P60_SEDM_None.ascii,Spectral unit conversion from 'Other' not implemented
2016for_2016-09-07_04-37-06_P60_SEDM_None.ascii,Spectral unit conversion from 'Other' not implemented
2016glz_2016-09-24_08-18-34_P60_SEDM_None.ascii,Spectral unit conversion from 'Other' not implemented
2018oe_2018-02-05_05-41-24_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2018zd_2018-03-06_03-41-17_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2018zd_2018-03-06_03-41-17_P60_SEDM_None_0.txt,Spectral unit conversion from 'Other' not implemented
2017hmf_2017-10-22_03-22-31_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2016fiz_2016-08-27_04-59-04_P60_SEDM_None.ascii,Spectral unit conversion from 'Other' not implemented
2016am_2016-01-13_00-00-00_P60_SEDM_None.ascii,Spectral unit conversion from 'Other' not implemented
2016hgw_2016-10-22_09-04-51_P60_SEDM_None.ascii,Spectral unit conversion from 'Other' not implemented
2016foc_2016-09-01_04-51-40_P60_SEDM_None.ascii,Spectral unit conversion from 'Other' not implemented
2016cvz_2016-06-06_00-00-00_P60_SEDM_None.ascii,Spectral unit conversion from 'Other' not implemented
2016coo_2016-05-19_00-00-00_P60_SEDM_None.ascii,Spectral unit conversion from 'Other' not implemented
2016fak_2016-09-02_04-52-32_P60_SEDM_None.ascii,Spectral unit conversion from 'Other' not implemented
iPTF16ied_2017-01-18_00-00-00.000000_P60_SEDM_iPTF.ascii,Flux is not positive!
2016ied_2017-01-18_07-50-04_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2017hai_2017-10-03_11-58-20_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2017hhz_2017-10-14_09-00-13_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2016cpc_2016-06-16_10-33-21_P60_SEDM_None.ascii,Spectral unit conversion from 'Other' not implemented
2018arc_2018-04-11_07-34-48_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2017hjs_2017-10-17_06-32-41_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
26743_2015-08-20_00-00-00.00_P60_SEDM_iPTF.ascii,Spectral unit conversion from 'Other' not implemented
2016gbf_2016-09-24_09-05-15_P60_SEDM_None.ascii,Spectral unit conversion from 'Other' not implemented
2016flo_2016-08-28_07-27-14_P60_SEDM_None.ascii,Spectral unit conversion from 'Other' not implemented
2018cnf_2018-06-28_10-59-21_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
SN2016fir_2016-09-01_06-56-41_P60_SEDM_TNS.ascii,Flux is not positive!
2018zs_2018-03-05_11-39-32_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2016fhz_2016-08-27_09-37-08_P60_SEDM_None.ascii,Spectral unit conversion from 'Other' not implemented
2016gdq_2016-09-25_09-30-25_P60_SEDM_None.ascii,Spectral unit conversion from 'Other' not implemented
2018aey_2018-03-09_00-00-00_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
iPTF16cft_2016-08-16_00-00-00.000000_P60_SEDM_iPTF.ascii,Flux is not positive!
SN2016cft_2016-08-19_06-17-41_P60_SEDM_TNS.ascii,Flux is not positive!
2016flq_2457628.8394_P60_SEDM_iPTF.ascii,Flux is not positive!
2018cgq_2018-06-07_10-39-39_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2017hgk_2017-10-14_03-21-26_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2016ewv_2016-08-18_07-06-33_P60_SEDM_None.ascii,Spectral unit conversion from 'Other' not implemented
iPTF16gor_2016-10-09_00-00-00.000000_P60_SEDM_iPTF.ascii,Flux is not positive!
2018evt_2018-12-12_13-27-32.619_P60_SEDM_None.ascii,Flux is not positive!
2018evt_2018-12-28_12-17-49.684_P60_SEDM_None.ascii,Flux is not positive!
2018evt_2019-02-20_08-15-35.813_P60_SEDM_None.ascii,Flux is not positive!
SN2018gdg_2018-10-09_05-40-00_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018gjv_2018-10-22_04-08-16_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018gjv_2018-10-22_04-08-16_P60_SEDM_TNS_0.ascii,Flux is not positive!
SN2018gjx_2018-10-12_08-56-52_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018fwn_2018-09-21_09-59-45_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018fsp_2018-09-22_11-13-17_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018guh_2018-09-25_03-28-19_P60_SEDM_TNS.ascii,Flux is not positive!
AT2018gte_2018-09-24_05-04-57_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018gqa_2018-09-27_04-12-35_P60_SEDM_TNS.ascii,Flux is not positive!
2018gwo_2018-11-06_00-00-00_P60_SEDM_ZTF.txt,Flux is not positive!
SN2018ghp_2018-09-29_04-44-45_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018fsq_2018-09-22_10-47-03_P60_SEDM_TNS.ascii,Flux is not positive!
ZTF18abwlsoi_2458443.605_P60_SEDM_ZTF.ascii,Flux is not positive!
SN2018gxq_2018-09-27_06-42-04_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018gvl_2018-09-25_09-00-22_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018ghh_2018-09-28_12-11-40_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018hjx_2018-11-10_07-30-05_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018gvn_2018-10-17_04-11-52_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018hju_2018-11-03_04-16-37_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018hdy_2018-10-31_10-07-31_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018hna_2018-11-02_12-36-58_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018hmn_2018-11-17_11-45-08_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018hkb_2018-10-31_07-03-31_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018hrk_2018-11-08_08-14-41_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018hrt_2018-10-31_09-38-27_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018hrs_2018-11-01_04-12-28_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018hru_2018-11-04_07-56-50_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018hkg_2018-11-02_06-48-55_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018hux_2018-11-07_06-31-04_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018hux_2018-11-07_06-31-04_P60_SEDM_TNS_0.ascii,Flux is not positive!
SN2018hwm_2018-12-17_10-30-29_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018ieu_2018-11-10_04-30-18_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018hvl_2018-11-10_06-35-46_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018hzd_2018-11-06_02-30-49_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018hro_2018-11-13_02-20-35_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018hnp_2018-11-07_04-45-50_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018hrn_2018-11-14_02-49-22_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018ids_2018-11-18_04-34-20_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018jfv_2018-12-05_05-33-58_P60_SEDM_TNS.ascii,Flux is not positive!
2018ibb_2018-12-28_07-02-53.580_P60_SEDM_ZTF-PESSTO-Joint.ascii,Flux is not positive!
SN2018ide_2018-11-09_08-25-32_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018idh_2018-11-15_07-10-45_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018hva_2018-11-14_03-12-24_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018imy_2018-11-16_11-56-08_P60_SEDM_TNS.ascii,Flux is not positive!
2018byg_2018-05-28_P60_SEDM_None.ascii,Flux is not positive!
SN2018hfx_2018-10-10_05-41-49_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018izc_2018-11-27_07-15-44_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018iet_2018-11-28_03-11-18_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018gjy_2018-10-06_09-56-02_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018gsm_2018-10-09_04-31-21_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018ghj_2018-09-19_12-12-19_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018gvx_2018-10-12_10-27-32_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018gta_2018-10-10_10-00-03_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018hbu_2018-11-02_04-35-45_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018hud_2018-11-17_09-46-07_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018hxv_2018-10-10_06-25-17_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018hnw_2018-11-10_01-54-32_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018iqu_2018-11-20_12-16-19_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018gtp_2018-10-17_05-31-19_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018jai_2018-12-05_12-45-02_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018jki_2018-12-04_05-58-03_P60_SEDM_TNS.ascii,Flux is not positive!
SN2023ope_2023-08-08_11-22-32_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018izd_2018-11-28_05-56-31_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018jgx_2018-12-12_04-07-25_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018jst_2018-12-12_12-25-04_P60_SEDM_TNS.ascii,Flux is not positive!
SN2018jsv_2018-12-13_11-07-53_P60_SEDM_TNS.ascii,Flux is not positive!
